Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
James Abankwah,IRL,"DF,MF",Udinese,20,2004,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0
Saud Abdulhamid,KSA,DF,Roma,25,1999,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0
Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Tammy Abraham,ENG,FW,Milan,26,1997,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2
Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Francesco Acerbi,ITA,DF,Inter,36,1988,19.0,0,0,0,11,18,2,10,26,19,0,0,0,62,61,30,67.0
Che Adams,SCO,FW,Torino,28,1996,29.5,2,0,0,29,40,23,10,2,6,0,0,0,50,36,62,36.7
Yacine Adli,FRA,MF,Fiorentina,24,2000,13.7,3,1,1,9,20,0,63,6,19,0,0,0,77,5,16,23.8
Vasilije Adžić,MNE,"MF,FW",Juventus,18,2006,0.5,0,0,0,1,1,0,0,0,2,0,0,0,3,2,3,40.0
Michel Aebischer,SUI,MF,Bologna,27,1997,8.0,2,0,0,16,16,0,14,7,13,0,0,0,35,5,9,35.7
Honest Ahanor,ITA,"DF,MF",Genoa,16,2008,3.0,0,0,0,2,8,0,4,1,5,0,0,0,14,5,3,62.5
Junior Ajayi,CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,10.7,4,0,0,24,18,0,6,13,18,0,0,0,54,11,15,42.3
David Akpan Ankeye,NGA,"FW,MF",Genoa,22,2002,0.5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0
Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.8,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,100.0
Dele Alli,ENG,MF,Como,28,1996,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Pontus Almqvist,SWE,"FW,MF",Parma,25,1999,12.4,5,0,0,15,15,2,11,19,13,1,0,0,40,9,15,37.5
Giorgio Altare,ITA,DF,Venezia,25,1998,8.4,2,0,0,10,2,0,7,17,12,0,0,1,27,19,17,52.8
Sofyan Amrabat,MAR,MF,Fiorentina,27,1996,2.0,0,0,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0
Angeliño,ESP,DF,Roma,27,1997,35.3,1,0,0,32,33,5,116,28,24,1,0,0,101,30,27,52.6
Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Faustino Anjorin,ENG,MF,Empoli,22,2001,12.4,3,0,0,24,19,0,17,13,13,0,1,0,65,9,15,37.5
Marko Arnautović,AUT,FW,Inter,35,1989,6.1,1,0,0,4,6,8,5,1,6,0,0,0,10,12,7,63.2
Kristjan Asllani,ALB,MF,Inter,22,2002,11.0,4,0,0,9,19,0,43,9,3,0,0,0,49,4,3,57.1
Arthur Atta,FRA,"MF,FW",Udinese,21,2003,13.9,5,0,0,16,14,1,24,7,12,0,0,0,57,14,20,41.2
Emil Audero,IDN,GK,Como,27,1997,8.0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,1,66.7
Tommaso Augello,ITA,DF,Cagliari,29,1994,30.1,3,0,0,15,11,3,207,16,28,0,0,0,135,49,22,69.0
Carlos Augusto,BRA,DF,Inter,25,1999,18.8,1,0,0,10,12,3,20,9,14,0,0,0,70,57,35,62.0
Yann Aurel Bisseck,GER,DF,Inter,23,2000,18.3,4,0,0,16,9,1,8,17,12,0,2,0,66,47,15,75.8
Paulo Azzi,BRA,DF,Cagliari,30,1994,4.7,2,0,0,5,3,0,22,5,9,0,0,0,24,6,5,54.5
Oussama El Azzouzi,MAR,MF,Bologna,23,2001,0.2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,
Jacopo Bacci,ITA,MF,Empoli,19,2005,0.3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,100.0
Milan Badelj,CRO,MF,Genoa,35,1989,16.4,2,0,0,18,19,0,5,20,16,0,0,0,74,10,6,62.5
Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,9.2,2,0,0,7,16,0,7,6,4,0,0,0,48,1,3,25.0
Keita Baldé,SEN,FW,Monza,29,1995,7.1,2,0,0,7,23,3,6,2,1,0,0,0,12,5,11,31.3
Botond Balogh,HUN,DF,Parma,22,2002,22.8,5,0,0,17,7,0,1,25,16,0,2,0,64,34,29,54.0
Mario Balotelli,ITA,"FW,MF",Genoa,33,1990,0.7,2,0,0,2,2,0,3,0,0,0,0,0,1,2,2,50.0
Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,6.8,1,0,0,10,20,2,26,2,5,0,0,0,30,2,13,13.3
Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4.5,1,0,0,4,4,0,8,6,0,0,0,0,36,7,3,70.0
Mattia Bani,ITA,DF,Genoa,30,1993,16.7,3,0,0,7,11,1,4,22,10,0,0,0,60,22,23,48.9
Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
Federico Barba,ITA,DF,Como,30,1993,4.8,0,0,0,3,1,0,3,4,2,0,0,0,19,5,8,38.5
Nicolò Barella,ITA,MF,Inter,27,1997,27.7,4,0,0,25,33,4,68,12,31,0,0,0,165,26,25,51.0
Davide Bartesaghi,ITA,DF,Milan,18,2005,1.3,0,1,0,1,0,1,10,3,2,0,0,0,2,1,0,100.0
Federico Baschirotto,ITA,DF,Lecce,27,1996,38.0,3,0,0,31,7,0,5,23,25,0,3,0,93,104,55,65.4
Daniele Baselli,ITA,MF,Como,32,1992,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0
Alessandro Bastoni,ITA,DF,Inter,25,1999,26.7,6,1,1,44,39,1,64,22,24,0,0,0,96,44,24,64.7
Reda Belahyane,MAR,MF,Hellas Verona,20,2004,18.4,6,1,1,31,9,0,3,10,26,0,0,0,109,5,15,25.0
Reda Belahyane,MAR,MF,Lazio,20,2004,2.2,0,1,0,4,1,0,0,1,6,0,0,0,13,2,0,100.0
Raoul Bellanova,ITA,DF,Torino,24,2000,1.0,0,0,0,1,1,0,5,0,0,0,0,0,4,1,0,100.0
Raoul Bellanova,ITA,DF,Atalanta,24,2000,26.7,3,0,0,15,34,0,156,18,14,0,0,0,117,23,23,50.0
Andrea Belotti,ITA,FW,Como,30,1993,6.6,1,0,0,9,19,5,5,1,5,0,0,0,17,18,26,40.9
Lucas Beltrán,ARG,"FW,MF",Fiorentina,23,2001,21.7,6,0,0,32,49,4,7,5,10,1,0,0,59,32,53,37.6
Adrian Benedyczak,POL,"FW,MF",Parma,23,2000,2.4,0,0,0,4,5,1,1,0,0,0,0,0,3,9,12,42.9
Ismaël Bennacer,ALG,MF,Milan,26,1997,3.3,2,0,0,5,5,0,6,3,4,0,0,0,17,3,1,75.0
Medon Berisha,ALB,MF,Lecce,20,2003,8.0,5,0,0,16,11,0,29,11,8,0,0,0,36,7,7,50.0
Adrian Bernabe,ESP,MF,Parma,23,2001,16.1,1,0,0,9,36,0,29,7,18,0,0,0,72,4,4,50.0
Antoine Bernede,FRA,MF,Hellas Verona,25,1999,6.6,2,0,0,16,4,0,13,5,8,0,0,0,38,6,8,42.9
Sam Beukema,NED,DF,Bologna,25,1998,33.5,1,0,0,28,36,2,8,30,29,0,1,0,135,93,71,56.7
